作者,粉丝,标题,点赞,硬币,收藏,分享,弹幕,播放,评论,时长,上传时间,爬取时间,频道,标签,分区,时间
三哥漫剪,1405,萧炎被云山打下山后，竟然在云岚宗后山破极连升两级，顺便解锁了天火三玄变,259,5,11,4,8,17878,41,152,2021/12/20 15:50,2021/12/23 18:20,斗破苍穹,国创 国产原创相关,guochuang,3.104166667
宇哥动漫,949,【凡人】韩立，一个因为长得帅，被嫌弃的男主,19380,385,1271,209,2274,740419,1926,255,2021/12/8 19:24,2021/12/23 18:20,凡人修仙传 动漫杂谈,国创 国产原创相关,guochuang,14.95555556
三言漫说,1125,『尸兄』漫画人物金属霸王牛顿,1128,10,71,3,0,18619,49,84,2021/12/19 22:58,2021/12/23 18:20,,国创 国产原创相关,guochuang,3.806944444
何其凉,4686,"“十年后听到这首《𝘄𝗮𝗸𝗲》,你还会为他们感动吗？”",27497,9343,18833,1220,1243,231521,402,124,2021/11/27 21:38,2021/12/23 18:20,凹凸世界 AMV,国创 国产原创相关,guochuang,25.8625
Milk维生菌z,268,不是你们一开始选择了玩蛇吗？,3382,481,890,49,182,134829,321,128,2021/12/15 11:00,2021/12/23 18:21,,国创 国产原创相关,guochuang,8.30625
yoyo鹿鸣_Lumi,1368566,呼噜噜~ 来和新朋友一起玩吧,89058,33081,16024,9529,1242,991902,5864,84,2021/12/22 12:00,2021/12/23 18:21,喵星人,动画 MMD·3D,douga,1.264583333
No_Tables,11855,荧 vs 遗迹守卫 - 原神动画,84354,28787,20584,4021,852,784713,2622,93,2021/12/20 11:45,2021/12/23 18:21,blender 原神,动画 MMD·3D,douga,3.275
姓韩的小子,2410,动画《凡人修仙传》的动作导演穆宁发的动作捕捉花絮,83685,19755,11395,6457,2605,1014922,4364,240,2021/12/20 13:28,2021/12/23 18:21,,动画 综合,douga,3.203472222
夏雨初晴う,976,【三年之约】无论你在世界的何处，我都一定会再去见你！,47365,36395,24941,3462,956,427306,1304,196,2021/12/19 22:00,2021/12/23 18:21,言叶之庭 秒速五厘米 你的名字 新海诚,动画 MAD·AMV,douga,3.847916667
炷天cartoooo,3513,【原神3D动画】钟离处决技,87433,24981,28680,8474,590,894097,2232,41,2021/12/19 21:54,2021/12/23 18:21,原神UP主激励计划 原神,动画 MMD·3D,douga,3.852083333
茗家的鸫,566384,制作一只超大的等身大鸭鸭！布洛妮娅等身手办,50834,22882,12659,4299,688,550840,1685,185,2021/12/21 17:00,2021/12/23 18:21,布洛妮娅 模型制作 模型 崩坏3 手办模玩 野生技术协会 技术宅 手工 DIY,动画 手办·模玩,douga,2.05625
呜米咩栗的草原日常,78979,趁室友上厕所的时候干坏事！,45240,1538,11934,627,142,658299,733,17,2021/12/20 19:20,2021/12/23 18:21,搞笑,动画 综合,douga,2.959027778
Cat-God猫神教主,541226,【波兰球】冬至,53314,7979,10197,1582,1308,506324,1589,84,2021/12/21 20:35,2021/12/23 18:21,印度 美食,动画 综合,douga,1.906944444
哈米伦的弄笛者,1199766,【原神手书】一只狗狗有两幅面孔！,43981,14229,18305,3085,425,269609,859,77,2021/12/22 11:00,2021/12/23 18:21,原神UP主激励计划 手书 原神,动画 短片·手书·配音,douga,1.30625
绫人太太啊,825919,《论 配 音 的 重 要 性》,72281,7076,20053,832,260,843107,803,88,2021/12/19 18:13,2021/12/23 18:21,配音 声优 日语,动画 短片·手书·配音,douga,4.005555556
ZZEFF画师,83656,【OC meme】Pink Elephants,43126,3893,22060,564,86,277425,198,56,2021/12/20 17:00,2021/12/23 18:21,绘画,动画 短片·手书·配音,douga,3.05625
嘉然今天吃什么,1365192,【嘉然】快 来 打 分！(๑>◡<๑)（直播剪辑）,38799,15904,7299,2445,3090,295862,6119,162,2021/12/22 22:16,2021/12/23 18:22,虚拟UP主 搞笑,动画 综合,douga,0.8375
wuhu动画人空间,726477,动画不易！！《凡人修仙传》幕后真人武打动作戏测拍！有多过瘾背后就有多艰辛！,48504,4430,4666,1733,406,643819,1414,91,2021/12/20 14:47,2021/12/23 18:22,凡人修仙传,动画 综合,douga,3.149305556
芙芙家的洗碗君,1295822,一口气看完，铁甲小宝！你的童年只有几个铁憨憨吗？,31033,12305,5816,2184,5171,565808,1858,1086,2021/12/21 9:40,2021/12/23 18:22,创作加成计划 机器人 动漫杂谈 特摄,动画 特摄,douga,2.3625
小蓝和他的朋友日常号,743528,发给你经常吃垃圾食品的朋友看,67204,4118,40356,19532,190,1371531,883,12,2021/12/18 17:05,2021/12/23 18:22,搞笑,动画 短片·手书·配音,douga,5.053472222
澄田花苗,101172,小鲨鱼啪啪啪,46440,780,10362,3015,697,648983,1107,62,2021/12/19 10:15,2021/12/23 18:22,动画短片,动画 综合,douga,4.338194444
政宗君de情敌,548329,把妹妹当成弟弟养了多年，男主却浑然不知！这番快把我笑死了！哈哈！,25659,3522,8164,203,682,484707,562,491,2021/12/22 19:52,2021/12/23 18:22,补番推荐 动漫杂谈 搞笑,动画 综合,douga,0.9375
李志映画,822303,【波兰球】枭雄陨落,40728,2609,4118,358,832,384762,741,83,2021/12/20 20:29,2021/12/23 18:22,俄罗斯,动画 短片·手书·配音,douga,2.911805556
利利那TD25,500291,狂肝3000照片，MG德天使360°爆甲动画！【TD25定格动画】,47595,22342,7834,2196,260,594658,498,70,2021/12/19 17:31,2021/12/23 18:22,机动战士高达00 定格动画 手书 高达 单机游戏,动画 手办·模玩,douga,4.035416667
进击的金厂长,2840085,这把游戏，不打也罢！,26454,18098,5113,1184,1428,240720,687,706,2021/12/22 20:06,2021/12/23 18:22,沙雕动画 短片,动画 综合,douga,0.927777778
奇妙幻想派,83885,爆肝528小时！我做出了《海绵宝宝》3D同人动画！（3）,335782,171129,81908,20065,3428,2578617,2871,125,2021/12/17 7:50,2021/12/23 18:22,派大星 动画短片,动画 综合,douga,6.438888889
三十六贱笑,4683495,一个晚上，一支笔，一个奇迹！！,32398,5584,5000,6511,505,274134,777,180,2021/12/23 11:30,2021/12/23 18:22,配音 搞笑,动画 短片·手书·配音,douga,0.286111111
飞社长,1860335,日本探宝中古店！花了1000块钱狂买东西都不要钱？！,31427,7280,1593,380,1790,306101,460,585,2021/12/21 17:00,2021/12/23 18:22,日本旅游 手办模玩 玩具 日本 搞笑,动画 手办·模玩,douga,2.056944444
工藤家头号粉丝TZ,773,千叶瘦下来真的很帅 每个胖子都是潜力股！,41803,40,3171,75,23,308331,153,19,2021/12/19 23:58,2021/12/23 18:23,创作加成计划 名侦探柯南,动画 综合,douga,3.767361111
离了个大陌,2462,从校服到婚纱,97287,14764,40190,3049,814,1132207,2177,113,2021/12/17 21:11,2021/12/23 18:23,动漫杂谈 AMV MAD,动画 综合,douga,5.883333333
凉风Kaze,8236772,这些梗秒懂的都是老二次元了,394430,218680,55269,11572,7372,2971424,9077,458,2021/12/18 12:00,2021/12/23 18:23,原神UP主激励计划 动漫杂谈 原神 搞笑,动画 综合,douga,5.265972222
陨落之弓,14875,ᥬ小新这孩子，打小就聪明᭄,73565,836,6397,1859,239,961372,236,194,2021/12/18 0:31,2021/12/23 18:23,蜡笔小新 万恶之源 动画短片 搞笑 必剪创作,动画 综合,douga,5.744444444
珈乐Carol,465254,我 醋 我 自 己（直播剪辑）,22196,8963,4773,677,874,143595,3050,140,2021/12/21 11:57,2021/12/23 18:23,虚拟UP主 搞笑,动画 综合,douga,2.268055556
远古黑金,865466,《 关于我跟老师灵魂交换这件事。。。。》,252577,286195,91083,14577,5276,2266945,4642,871,2021/12/16 12:00,2021/12/23 18:23,沙雕配音 搞笑配音 配音 搞笑,动画 短片·手书·配音,douga,7.265972222
没有NIA,59777,Niaの奇怪少女「我的现状」,68699,4678,36112,1331,62,491284,729,15,2021/12/17 18:00,2021/12/23 18:23,,动画 短片·手书·配音,douga,6.015972222
中二少年晓凯,1269445,能冻结时空的最强恶人，冷酷杀招令人绝望！回顾经典《斩！赤红之瞳》p5,20305,7856,3255,223,450,238643,712,732,2021/12/22 19:31,2021/12/23 18:23,动漫杂谈 搞笑,动画 综合,douga,0.952777778
乃琳Queen,550246,害 羞 小 乃 琳【直播剪辑】,20724,7871,4877,1706,876,134922,2618,102,2021/12/22 18:40,2021/12/23 18:23,虚拟UP主 搞笑,动画 综合,douga,0.988194444
荧惑Dreemurr,371,替身是怎么叫的,26310,2435,6840,2761,146,340794,247,38,2021/12/19 22:32,2021/12/23 18:23,,动画 综合,douga,3.827083333
小品一家人,240233,密室漏水还暗藏大白鲨，没想到危机关头老师大显神通,1012,149,8,9,8,779918,16,99,,2021/12/23 18:23,,,douga,44553.76597
很难不suki,51718,她真的…我哭死,16136,914,4875,3368,1367,197448,2844,48,2021/12/22 17:42,2021/12/23 18:23,虚拟UP主 动画短片 搞笑,动画 综合,douga,1.028472222
GHS动画,16477,【Poppy Playtime动画】玩偶复仇记 | 主人，我不是怪物！,16240,4994,7866,554,311,158924,416,142,2021/12/20 14:00,2021/12/23 18:24,,动画 短片·手书·配音,douga,3.183333333
旅行者老星,38924,《原神》角色演示-「草菈：闪灼的烛光」,19016,5467,2827,3328,453,198261,689,226,2021/12/22 5:11,2021/12/23 18:24,原神UP主激励计划 手书 原神 搞笑,动画 短片·手书·配音,douga,1.550694444
开心锤锤,471977,为不露馅绞尽脑汁，不料竟被一眼看穿,11588,264,930,34,63,580969,58,117,2021/12/19 12:09,2021/12/23 18:24,搞笑,动画 综合,douga,4.260416667
收藏sama,41931,外星生物已渗透进地球！,38758,552,16751,984,236,486317,513,63,2021/12/18 10:30,2021/12/23 18:24,沙雕动画 动画短片 必剪创作,动画 综合,douga,5.329166667
SeraphineBL,97132,假面骑士利维斯解救 阿基蕾拉大人 今天你投敌了吗,19804,924,4394,577,403,393945,373,124,2021/12/19 11:27,2021/12/23 18:24,每个人都能成为UP主 MAD 特摄,动画 特摄,douga,4.289583333
A9VG,151439,TV动画《死神BLEACH 千年血战篇》最新宣传短片 2022年10月开播,48343,14742,18520,40871,3685,980233,7781,111,2021/12/18 17:54,2021/12/23 18:24,死神,动画 综合,douga,5.020833333
烟沙Carl,3418,【原神】耗时一个月用十米长卷打开璃月全景,107209,78575,35103,7229,2200,570017,3193,281,2021/12/18 2:02,2021/12/23 18:24,原神UP主激励计划 插画 板绘 原神 绘画,动画 短片·手书·配音,douga,5.681944444
亿时心鸽来潮,31102,合金催逝员,14680,2582,3256,1475,128,197579,173,63,2021/12/20 21:29,2021/12/23 18:24,无限搞笑公司 合金弹头 动画短片 搞笑,动画 综合,douga,2.871527778
奋斗的豆芽,65522,《鬼灭之刃》之克服阳光之鬼！！！,11106,1115,1799,55,165,281800,594,142,2021/12/20 18:00,2021/12/23 18:24,鬼灭之刃 动漫杂谈,动画 综合,douga,3.016666667
倾颜墨安,20174,苏轼：怀民亦未寝。张怀民：啊对对对,459604,41690,159831,79993,983,4862361,3198,26,2021/12/5 20:45,2021/12/23 18:24,配音 搞笑,动画 短片·手书·配音,douga,17.90208333
-郝家伙-,6819,【龙珠Z】精简版【沙鲁篇】,11987,6123,1867,846,355,210234,475,202,2021/12/20 19:27,2021/12/23 18:24,贝吉塔,动画 综合,douga,2.95625
深夜追了个动漫,19321,一杯柠檬水引发的惨案,2411,31,338,6,3,474058,5,69,2021/12/19 17:11,2021/12/23 18:24,,动画 综合,douga,4.050694444
奶盖剪辑,118679,4K【奥特银河格斗3：命运的冲突1】高斯：重复一个技能算我输好吧！,7472,747,2220,2383,751,256459,1755,240,2021/12/21 14:39,2021/12/23 18:25,泰罗奥特曼 赛罗奥特曼 4K 奥特曼 特摄,动画 特摄,douga,2.156944444
嫣烛,13542,魈 - 時候,9823,7109,8032,1764,323,70143,553,150,2021/12/21 13:06,2021/12/23 18:25,原神,动画 MMD·3D,douga,2.221527778
面粉社长,1367887,用了自欺欺人尺，我整个人都自信了！！！,19844,2306,988,203,434,193997,277,163,2021/12/21 11:22,2021/12/23 18:25,沙雕动画 搞笑,动画 综合,douga,2.29375
瞎问虾猜丶,228413,这部19年前的动画，一直用正确的价值观引导我们,25772,478,11387,112,264,342378,574,73,2021/12/18 10:00,2021/12/23 18:25,创作加成计划,动画 综合,douga,5.350694444
早安蛋蛋HeyYolk,89821,假如计算器是一家酒店，可爱生物挤在里面..【早安蛋蛋】,15796,1416,1253,220,45,214591,104,38,2021/12/20 18:58,2021/12/23 18:25,,动画 短片·手书·配音,douga,2.977083333
早稻叽,576214,【拆礼物】送得好，下次不要再送了！！,17247,1470,3341,860,967,161199,516,272,2021/12/20 18:26,2021/12/23 18:25,虚拟UP主 搞笑,动画 综合,douga,2.999305556
ultraWYY,268752,奥父主战！求助奥王！老贝和老托太罕见了！雷古洛思也终于露面【奥特银河格斗第三季序章】,14714,1628,1720,463,604,192405,1313,331,2021/12/21 20:34,2021/12/23 18:25,奥特曼 特摄,动画 特摄,douga,1.910416667
帅哥伊斯买裤衩,261557,“博士是哪个”“是他”,17918,348,1085,211,98,191831,717,49,2021/12/22 10:42,2021/12/23 18:25,明日方舟创作者应援计划 手书 明日方舟,动画 短片·手书·配音,douga,1.321527778
高坂大芥末,213857,b 站 热 度 年 度 总 结 ☆【禁止套娃2021】,387497,219521,166046,48952,23076,3517001,9931,435,2021/12/14 18:00,2021/12/23 18:25,禁止套娃 初音未来 彩虹六号 虚拟歌手 明日方舟,动画 综合,douga,9.017361111
LYAnime,83779,💗“堕姬也是少女心满满呢~”💗,8372,163,1882,133,255,268778,485,90,2021/12/20 11:45,2021/12/23 18:25,鬼灭之刃 AMV MAD,动画 综合,douga,3.277777778
冰糖IO,990808,虚拟主播去拿外卖，模型竟然自己动了起来！？,16629,470,1947,121,132,175600,476,122,2021/12/21 18:56,2021/12/23 18:25,虚拟UP主 搞笑,动画 综合,douga,1.978472222
肥肥鲨的日常,39851,男生的精力,4978,195,1368,4558,27,262899,397,22,2021/12/21 12:36,2021/12/23 18:26,,动画 综合,douga,2.243055556
寻找x姐姐,261,元祖高达核心战机合体失败珍贵视频影像rx78元祖0079高达,8091,1197,3751,3799,494,190281,408,186,2021/12/20 14:04,2021/12/23 18:26,高达 模型 手办模玩 必剪创作,动画 手办·模玩,douga,3.181944444
续一口甜酒,33245,【互动游戏】这才是猛女该玩的恋爱（bushi）攻略游戏！,8266,4416,6911,1304,4788,70848,636,3384,2021/12/21 19:05,2021/12/23 18:26,互动视频,动画 综合,douga,1.972916667
小you动漫说,4584,熊出没中的未解之谜，你看懂了吗？消失的熊三去哪了？,2240,235,2163,24,12,1418448,18,69,2021/12/14 17:49,2021/12/23 18:26,动漫杂谈,动画 综合,douga,9.025694444
翎宸鸽鸽,89275,【JOJO】POPO的奇妙冒险《石之海》,10941,3931,5501,1355,424,95158,200,110,2021/12/20 19:29,2021/12/23 18:26,创作加成计划 JOJO的奇妙冒险,动画 综合,douga,2.95625
FSD炸鸽社,87960,【FSD】假面骑士利维斯 片头曲 「liveDevil」 Da-iCE feat.木村昴 中日双语字幕【自制PV】,7581,3943,5931,1862,138,98670,505,213,2021/12/21 22:45,2021/12/23 18:26,假面骑士 特摄,动画 特摄,douga,1.820138889
鹿乃ちゃん,1815347,180万关注纪念歌回,14286,8205,4831,555,410,47208,594,5738,2021/12/20 18:00,2021/12/23 18:26,日文翻唱 日语 翻唱,动画 综合,douga,3.018055556
在下末影兽,173994,我的世界中有了传送门模组可以随便穿越？末影龙的日常,5249,233,2690,30,65,313857,46,80,2021/12/19 10:00,2021/12/23 18:26,传送门 手书 我的世界 沙盒游戏 单机游戏,动画 短片·手书·配音,douga,4.351388889
聚猿创团队橘猫老板,160283,三针疫苗打下去发生了什么,12235,308,2794,151,49,1203998,217,61,2021/12/15 16:38,2021/12/23 18:26,搞笑,动画 短片·手书·配音,douga,8.075
可靠de伏特加,502076,稻 妻 选 美 大 赛,19996,1931,2087,561,273,113708,361,175,2021/12/22 18:00,2021/12/23 18:26,手书 原神 搞笑,动画 短片·手书·配音,douga,1.018055556
季夏の流萤,20894,【甘雨MMD /布料】穿上白丝的甘雨为旅行者千里邀月（一年未见，旅行者你还好吗？）,7059,2950,7648,508,64,59516,285,659,2021/12/20 19:18,2021/12/23 18:26,原神UP主激励计划 4K 中国风 古风 原神,动画 MMD·3D,douga,2.963888889
爱解说的杰克,2570,《飞出个未来》班德自杀变成鬼魂和地狱恶魔做交易，最后既然还能上天堂,9447,366,532,8,38,233863,95,162,2021/12/20 10:37,2021/12/23 18:26,,动画 综合,douga,3.325694444
小影剪辑君,1040,舒适只会让人变得堕落,26813,265,4057,684,65,471613,318,51,2021/12/16 17:51,2021/12/23 18:26,年终动画盛典 派大星 动画短片,动画 综合,douga,7.024305556
红豆鲨雕糖,4550,催 逝 员 和 穿 山 甲,116667,62932,34041,12705,762,1122238,1912,182,2021/12/17 17:14,2021/12/23 18:27,JOJO的奇妙冒险,动画 短片·手书·配音,douga,6.050694444
盖世猪猪丶,2700465,如何成为一名暖男,17600,1531,593,654,251,148322,293,103,2021/12/21 18:19,2021/12/23 18:27,是在下输了 配音 搞笑,动画 短片·手书·配音,douga,2.005555556
MAX-小仙女,841135,当 特 工 的 第 一 天！,17774,1890,1284,811,364,129596,408,88,2021/12/22 11:21,2021/12/23 18:27,,动画 综合,douga,1.295833333
哀是麦子的球迷,974281,相当乏善！这年的柯南画了个寂寞！2021名侦探柯南“主线”总结！,11236,2518,1524,354,951,149527,856,783,2021/12/21 15:50,2021/12/23 18:27,灰原哀 柯南 名侦探柯南 动漫杂谈,动画 综合,douga,2.109027778
-夏秋冬-,163280,忍  界  B  王 （第8期）,12835,8231,1876,661,446,102070,433,183,2021/12/22 18:21,2021/12/23 18:27,佐助 鸣人 搞笑,动画 综合,douga,1.004166667
动漫作业本,414259,海贼王1036话情报来了！CP0击败德雷克，大和抵达火药库！路飞凯多巅峰对决，势均力敌？,8807,771,319,433,181,206445,845,87,2021/12/22 18:47,2021/12/23 18:27,创作加成计划 路飞 海贼王,动画 综合,douga,0.986111111
帷幕VMovie,200921,当柴犬变成了五郎之后会发生什么呢hhhhh【原神/表情包】,89214,13200,40959,12414,414,866037,853,32,2021/12/17 17:30,2021/12/23 18:27,原神UP主激励计划 柴犬 手书 汪星人 原神 萌宠,动画 短片·手书·配音,douga,6.039583333
依馨,2098,猫和老鼠二战隐喻,16457,644,3303,825,377,324931,456,171,2021/12/17 14:59,2021/12/23 18:27,动画短片 历史 必剪创作,动画 综合,douga,6.144444444
谢欢001,640,“这个站的师傅们，怪鸽儿我啊，以前可是很强的！！”,21624,1752,4149,2393,319,313573,670,180,2021/12/19 7:02,2021/12/23 18:27,刃牙 冬泳怪鸽 奥利给 必剪创作,动画 综合,douga,4.475694444
泥团阿,400,杰哥不要,8253,389,4067,279,357,128331,372,233,2021/12/20 3:12,2021/12/23 18:27,,动画 综合,douga,3.635416667
周扒片,661491,【扒】爱豆去世一年后，被影迷成功抢救过来，生活会好起来的吧？《飞出个未来》之命运玩笑,12140,2112,996,114,224,142959,278,403,2021/12/20 18:19,2021/12/23 18:27,机器人,动画 综合,douga,3.005555556
梦音茶糯,251461,一主播发现几百人黑听一晚上破防大骂9min，粉丝笑yue了,11943,1236,1585,162,212,125427,669,153,2021/12/20 20:25,2021/12/23 18:27,虚拟UP主,动画 综合,douga,2.918055556
金喆tt,10919,「 无 人 生 还 」,40012,14290,22020,927,660,291071,611,87,2021/12/17 15:30,2021/12/23 18:28,咒术回战 AMV MAD,动画 MAD·AMV,douga,6.123611111
AIChannel官方,1460354,早,15914,3428,1488,351,1080,44332,1147,47,2021/12/22 5:30,2021/12/23 18:28,,动画 综合,douga,1.540277778
老斗小斗,20520,【原创动画】In its Throat (邪神OC的克克？小动画第二弹）,58861,8039,34125,1546,189,362791,490,117,2021/12/16 13:16,2021/12/23 18:28,,动画 短片·手书·配音,douga,7.216666667
子花酱Hanako,80224,身为画师画成这样？一定是我的画的太像了吧！×【英雄联盟瞎画瞎猜第三期】,30072,738,5549,778,212,524975,228,140,2021/12/18 15:16,2021/12/23 18:28,虚拟UP主召集令 虚拟UP主 英雄联盟,动画 综合,douga,5.133333333
哔哩哔哩漫画,35376691,《境·界（死神）》千年血战篇 动画PV公开,11895,969,916,2000,421,131824,1243,111,2021/12/22 21:00,2021/12/23 18:28,死神,动画 综合,douga,0.894444444
非酋牌咸鱼,181634,动漫里穷到让人心酸的妹子！我来养你们啊！,9326,1201,4339,167,211,135215,678,347,2021/12/19 18:31,2021/12/23 18:28,万恶之源 动漫杂谈 必剪创作,动画 综合,douga,3.997916667
玩偶菌,907033,【OVERLORD】逐秒解析！雅儿贝德“出嫁”？第四季PV透露了什么？,12472,5316,1560,254,756,91919,361,513,2021/12/21 22:18,2021/12/23 18:28,骨傲天 OVERLORD 鬼灭之刃 动漫杂谈,动画 综合,douga,1.840277778
老穆棍,528149,"把俺爹鞋底装俩轮子,他穿出去就失踪了",11084,2042,1087,211,460,132666,347,182,2021/12/21 21:18,2021/12/23 18:28,沙雕动画 搞笑 必剪创作,动画 短片·手书·配音,douga,1.881944444
东瑜说电影,23599,沉封地下百年的木盒被打开后，竟释放出五只嗜血的头颅怪,30627,131,2447,53,145,573275,222,229,2021/12/7 6:30,2021/12/23 18:28,,动画 综合,douga,16.49861111
光影笔墨,1592528,「進撃の巨人」The Final Season Part 2 PV第2弾,8673,887,1182,2850,271,145694,993,101,2021/12/21 18:58,2021/12/23 18:28,,动画 综合,douga,1.979166667
冬夜黑鸾,778,指挥官别跳，想想你全港区的媳妇儿！！！【碧蓝航线】,13135,4869,1645,1909,9,91248,183,17,2021/12/21 17:32,2021/12/23 18:28,碧蓝航线祈愿纪 手书 碧蓝航线,动画 短片·手书·配音,douga,2.038888889
晋北,7232,"【HP手书】Dude,no,you gotta go like——aye",38782,2840,22167,1098,24,195781,173,16,2021/12/17 8:53,2021/12/23 18:28,手书 哈利波特,动画 短片·手书·配音,douga,6.399305556
夜与白鲸,337933,四皇颠覆世界最终目标！索山险胜、伏笔爆表！海贼王1035话解析,7931,1060,469,122,329,161292,731,523,2021/12/20 23:53,2021/12/23 18:29,索隆 路飞 海贼王,动画 综合,douga,2.775
林小刀_official,6167,【林小刀】独居女性必须防范的那些事,1220,98,1211,5,0,430757,4,62,2021/12/17 13:17,2021/12/23 18:29,,动画 综合,douga,6.216666667
艾露露Ailurus,55929,这 酒 有 点 伤 人,71340,2788,14263,3616,182,1100973,817,21,2021/12/12 14:18,2021/12/23 18:29,无限搞笑公司 虚拟UP主 搞笑,动画 综合,douga,11.17430556
椎名Mashiro-,33508,“第三次了，那么，代价是什么？”,3924,14,359,18,219,187412,249,98,2021/12/20 21:13,2021/12/23 18:29,AMV MAD,动画 综合,douga,2.886111111
涵的世界,1193,等了十集波吉终于会说话了！,48700,4558,5877,1606,574,1428735,10304,137,2021/12/17 15:28,2021/12/23 18:29,国王排名 AMV MAD,动画 MAD·AMV,douga,6.125694444
向晚大魔王,482580,【剧情MV】Lover Boy 88❤晚晚奶味RAP甜蜜暴击,49895,54397,24172,8949,8889,418668,12462,210,2021/12/21 15:33,2021/12/23 18:29,虚拟UP主 RAP 翻唱,音乐 翻唱,music,2.122222222
音乐私藏馆,4266394,【4K60FPS】陈奕迅《葡萄成熟时》神级现场！祝大家冬至安康,60605,15578,16385,16501,3934,769407,3737,302,2021/12/21 17:34,2021/12/23 18:29,陈奕迅 华语现场 开口跪,音乐 音乐现场,music,2.038194444
明日方舟,4080723,《明日方舟》EP - Heal the World,62682,19878,13214,4053,2522,518879,6757,285,2021/12/21 11:00,2021/12/23 18:29,原创歌曲 明日方舟,音乐 原创音乐,music,2.311805556
音乐Wu哥,562349,陈奕迅一夜2亿播放的《孤勇者》，居然是患癌女粉丝写的，破防了！,183717,19922,32360,9271,5314,2291592,3621,203,2021/12/17 17:25,2021/12/23 18:29,陈奕迅 乐评盘点,音乐 音乐综合,music,6.044444444
pcyxjy,1040550,aespa Cover Dreams Come True MV公开,41816,6852,19395,9616,11289,1064310,14977,281,2021/12/20 17:46,2021/12/23 18:29,aespa,音乐 MV,music,3.029861111
枪弹轨迹,2450082,一口气打完2021鬼畜热门曲！！,59984,13641,7700,933,1395,421266,966,230,2021/12/20 18:23,2021/12/23 18:29,BEATBOX 编曲 原创歌曲 电音 鬼畜 演奏,音乐 演奏,music,3.004166667
aespa资源站,132769,aespa新曲《Dreams Come True》MV公开！,33494,3891,12640,6041,3573,621915,4006,221,2021/12/20 18:01,2021/12/23 18:30,aespa Korea相关,音乐 MV,music,3.020138889
隔壁大王-RINO-,116289,“这首曲子虽然没有歌词，但仿佛听见了无数个故事。”——「Merry Christmas. Mr Lawrence」坂本龙一,43630,5905,29669,1117,179,301886,618,72,2021/12/19 20:21,2021/12/23 18:30,全能音乐挑战赛 演奏,音乐 演奏,music,3.922916667
上海彩虹室内合唱团,766849,【彩虹合唱】《道别是一件难事》首演和唯一演出现场，既然忘不掉，不如就装着吧。,25694,21849,15710,8217,662,317331,1092,292,2021/12/21 18:47,2021/12/23 18:30,全能音乐挑战赛,音乐 音乐综合,music,1.988194444
ProjectMili,175011,"Mili - In Hell We Live, Lament（奉我们存于炼狱之命，喇们）",20447,17751,17472,4229,496,206744,1180,226,2021/12/20 19:21,2021/12/23 18:30,原创歌曲,音乐 原创音乐,music,2.964583333
咻咻满,1118848,《孤勇者》前方核能！谁说女生不适合唱这歌？,754452,621162,362151,72587,18399,9820201,17425,257,2021/11/25 10:00,2021/12/23 18:30,全能音乐挑战赛 陈奕迅 EDG 翻唱 英雄联盟,音乐 翻唱,music,28.35416667
music你我他,154923,六首2021年全网都在找的俄罗斯神曲，旋律好上头，我打赌你都听过,12617,1676,12329,237,363,383102,310,135,2021/12/20 17:50,2021/12/23 18:30,全能音乐挑战赛 乐评盘点,音乐 音乐综合,music,3.027777778
Tolein薛伯特,4899,我摊牌了 旷野打蛇一年累了,23575,8750,12593,2467,579,185071,739,152,2021/12/20 1:43,2021/12/23 18:30,aespa Korea相关,音乐 音乐综合,music,3.699305556
祖娅纳惜,1946073,前方高能！《孤勇者》女声版 超A燃炸！！,839389,870099,536599,165837,21973,11971633,23369,271,2021/11/18 14:57,2021/12/23 18:30,陈奕迅 EDG 开口跪 虚拟UP主 翻唱 英雄联盟,音乐 翻唱,music,35.14791667
浑元Rysn,1978811,赛博唢呐，但没完全赛博,29283,1568,1541,1487,302,297491,1139,65,2021/12/22 11:36,2021/12/23 18:30,电音 乐器 演奏,音乐 演奏,music,1.2875
NIJISANJI,169237,全球首批英语男性VTuber出道曲-Hope in the dark,14530,5312,14536,5386,210,156513,894,185,2021/12/20 12:00,2021/12/23 18:30,全能音乐挑战赛 彩虹社 原创歌曲 欧美音乐,音乐 原创音乐,music,3.270833333
市监观察,274251,释压！西城男孩唱中文歌也这么好听,46323,649,5125,1142,205,441981,639,56,2021/12/18 13:05,2021/12/23 18:30,,音乐 音乐综合,music,5.225694444
GEM邓紫棋工作室,700530,【官方MV】G.E.M.邓紫棋《倒流时间》I'll Be Missing You,17478,11444,5634,2583,1188,145474,1528,190,2021/12/21 10:00,2021/12/23 18:31,邓紫棋,音乐 MV,music,2.354861111
九三的耳朵不是特别好,1507410,我想《晴天》里刮的应该是《龙卷风》！,66375,38324,17663,5098,1598,886720,2846,213,2021/12/18 21:56,2021/12/23 18:31,周杰伦 吉他弹唱 翻唱,音乐 翻唱,music,4.857638889
典藏音悦,64175,一个不靠颜值，靠才华征服世界的女子，你知道这些歌都是出自于她吗,541954,23931,195519,5423,4726,6832345,3484,144,2021/12/4 11:38,2021/12/23 18:31,,音乐 音乐综合,music,19.28680556
暴风雪百里冰,6148,那些年陪你看风车的人在哪呢🎵原创单曲 mv《风车》,15975,10872,10437,10117,88,86546,387,210,2021/12/22 12:10,2021/12/23 18:31,全能音乐挑战赛 开口跪,音乐 MV,music,1.264583333
